item_index,item_name,item_var_name,item_desc,hp,sociability,intelligence,sensibility,charm,fatigue,stress,music,design,exercise,creative,leadership,rewardPoint,web,operSystem,mobile,embedded,server,game,database,dataStructure
100,자료구조,dataStruct_Study,자료구조를 공부합니다.,-10,,,,,,,,,-5,,,,,,,,,,,50
101,게임 개발,game_Study,게임 개발을 공부합니다.,-10,,,,,,,,,-5,,,,,,,,,50,,
102,데이터베이스,database_Study,데이터베이스를 공부합니다.,-10,,,,,,,,,-5,,,,,,,,,,50,
103,서버,netAndServ_Study,서버를 공부합니다.,-10,,,,,,,,,-5,,,,,,,,50,,,
104,웹 개발,web_Study,웹 개발을 공부합니다.,-10,,,,,,,,,-5,,,,50,,,,,,,
105,윈도우,window_Study,윈도우를 공부합니다.,-10,,,,,,,,,-5,,,,,50,,,,,,
106,모바일,mobile_Study,모바일을 공부합니다.,-10,,,,,,,,,-5,,,,,,50,,,,,
107,아두이노,arduino_Study,아두이노를 공부합니다.,-10,,,,,,,,,-5,,,,,,,75,,,,
108,리눅스,linux_Study,리눅스를 공부합니다.,-10,,,,,,,,,-5,,,,,50,,25,,,,
109,네트워크,network_Study,네트워크를 공부합니다.,-10,,,,,,,,,-5,,,,,,,25,50,,,
110,음악 활동,music_Leisure,음악 활동을합니다.,,,,30,10,,-20,50,,,,,,,,,,,,,
111,운동,exercise_Leisure,운동을 합니다.,-5,,,,,20,-20,,,50,,,,,,,,,,,
112,웹 서핑,webSurffing_Leisure,웹 서핑을합니다.,,,,,,,-20,,,,50,,,,,,,,,,
113,낮잠,sleep_Rest,낮잠을 잡니다.,20,,-10,,,-20,,,,,,,,,,,,,,,
114,명상,meditation_Rest,명상을 합니다.,,,-30,,,,-50,,,,,,,,,,,,,,
115,군것질,snacking_Rest,군것질을 합니다.,20,,,,,,-40,,,,,,,,,,,,,,
116,게임,gaming_Rest,게임을 합니다.,-20,,-20,,,,-70,,,-20,,,,,,,,,10,,
117,외식,eatOut_LeisureWeekend,외식을 합니다.,80,,,,,,-20,,,,,,,,,,,,,,
118,쇼핑,shopping_LeisureWeekend,쇼핑을 합니다.,,,,,50,,-30,,,,,,,,,,,,,,
119,숙면,deepSleep_LeisureWeekend,숙면을 취합니다.,50,,,,,-50,,,,,,,,,,,,,,,
120,자습,selfStudy_LeisureWeekend,자습을 합니다.,,,30,,,20,20,,,,,,,,,,,,,,
121,게임,gaming_LeisureWeekend,게임을 합니다.,-20,,-50,,,,-150,,,-20,,,,,,,,,10,,
122,오케스트라실,orchestra_Visit,오케스트라실에 갑니다.,,,,,,,-20,50,,,,,,,,,,,,,
123,체육관,gym_Visit,체육관에 갑니다.,-5,,,,,30,,,,,,,,,,,,,,,
124,회사 견학,company_Visit,회사 견학을 하러갑니다.,,50,20,,,,,,,,,,,,,,,,,,
125,기숙사,dormitory_Visit,기숙사에 자러 갑니다.,10,,,,,-30,20,,,,,,,,,,,,,,
126,치킨,chicken_Shopping,맛있는 치킨이다 사용자의 체력을 회복시켜준다.,80,,,,,,,,80,,,,,,,,,,,,
127,간식,snack_Shopping,맛있는 간식이다 사용자의 체력을 소량 회복시켜준다.,30,,,,,,,,30,,,,,,,,,,,,
128,컴퓨터관련,involvedInCom_Shopping,컴퓨터에 관한 지식을 높여준다.,,,20,,,,,,,,20,,,,,,,,,,
129,전공 서적,majorBook_Shopping,전공에 관한 지식을 높여준다.,,,30,,,,,,,,30,,,,,,,,,,
130,의류,clothes_Shopping,매력과 사회성을 높여준다.,,,,,30,,,,,,,,30,,,,,,,,
131,화장품,cosmetics_Shopping,매력을 높여준다.,,,,,20,,,,,,,,20,,,,,,,,
132,사감 피하기,avoidTeacherEv,기숙사에서 사감을 피해 라면의 재료를 모으는 공포게임이다.,,,,,,,20,,,10,,5,,,,,,,,,
133,게임 몰래하기,stealthGameEv,수업시간에 선생님 몰래 게임을 하는 게임이다.,,,-15,,5,,10,,,,,,,,,,,,,,
134,급식줄 빨리서기,lineUpQuicklyEv,급식시간에 다른학생들보다 빠르게 급식실에 가는 게임이다.,,,,,,5,,,,10,,,,,,,,,,,
135,교가 리듬게임,schoolSongRhythmGameEv,신나는 교가의 리듬에 맞춰 즐기는 게임이다.,,,,20,5,10,,30,,,10,,,,,,,,,,
136,줄다리기,tugOfWarEv,체육대회때 하는 줄다리기 게임이다.,10,5,,,,15,,,,10,,,,,,,,,,,
137,이어달리기,connectingRunningEv,체육대회때 하는 이어달리기 게임이다.,10,5,,,,15,,,,10,,,,,,,,,,,
138,판 뒤집기,flipingPlateEv,체육대회때 하는 판뒤집기 게임이다.,10,5,,,,15,,,,10,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,
