,,,,,,,,,,,,,,,,,,,,,,,,,
item_index,item_name,item_var_name,item_desc,hp,sociability,intelligence,sensibility,charm,fatigue,stress,music,design,exercise,creative,leadership,rewardPoint,web,operSystem,mobile,embedded,server,game,programmingKnowledge,database,data_structure
300,스타트업 엔딩,startUpEd,,,,,,,,,,,,,,,,,,,,,,,
301,1인 개발 엔딩,oneDevEd,,,,,,,,,,,,,,,,,,,,,,,
302,대기업 엔딩,samsungEd,,,,,,,,,,,,,,,,,,,,,,,
303,평범한 중소기업,mekaSolutionEd,,,,,,,,,,,,,,,,,,,,,,,
304,전산직 공무원,officialEd,,,,,,,,,,,,,,,,,,,,,,,
305,입대 엔딩,enlistmentEd,,,,,,,,,,,,,,,,,,,,,,,
306,GS25 엔딩,gs25Ed,,,,,,,,,,,,,,,,,,,,,,,
307,게임 브금 작곡가,gameBgmComposerEd,,,,,,,,,,,,,,,,,,,,,,,
308,디자인 업계 회사,designerEd,,,,,,,,,,,,,,,,,,,,,,,
309,막노동 엔딩,workerHolicEd,,,,,,,,,,,,,,,,,,,,,,,
310,크리에이터 엔딩,creatorEd,,,,,,,,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,,,,,,,,,
